Feature,Importance
num__DAP_20days,0.10070928214135845
num__Seedrate(in Kg),0.10037793759245296
num__Micronutrients_70Days,0.0900072299887028
num__LP_Mainfield(in Tonnes),0.08962681444691536
num__Hectares,0.0886906402258604
num__LP_nurseryarea(in Tonnes),0.08357326979245237
num__Trash(in bundles),0.08085553676479137
num__Pest_60Day(in ml),0.07998701070072047
num__Potassh_50Days,0.07422899753492436
num__Urea_40Days,0.07142978743663922
num__Nursery area (Cents),0.0700055888031876
num__Weed28D_thiobencarb,0.06753145770968541
cat__Variety_ponmani,0.00029667408018437983
cat__Variety_delux ponni,0.0002933614991059472
cat__Variety_CO_43,0.00021436090642999056
cat__Soil Types_clay,0.00018253264126820654
cat__Nursery_dry,0.00017996483046933361
cat__Nursery_wet,0.00017731838947348966
cat__Soil Types_alluvial,0.00017300385267268932
num__Max temp_D61_D90,0.00010050677402914785
num__Relative Humidity_D1_D30,7.676384149910795e-05
num__Relative Humidity_D91_D120,7.070765906918509e-05
num__Inst Wind Speed_D1_D30(in Knots),6.485438577497311e-05
num__Max temp_D31_D60,5.949418829072109e-05
num__Min temp_D31_D60,5.746059954714469e-05
num__Relative Humidity_D61_D90,5.173878993668222e-05
num__Min temp_D1_D30,5.003489122120201e-05
num__Min temp_D61_D90,4.9177990204667075e-05
num__Inst Wind Speed_D61_D90(in Knots),4.887244060085888e-05
num__Min temp_D91_D120,4.1205305670539535e-05
num__Relative Humidity_D31_D60,4.086266066507463e-05
num__Max temp_D91_D120,3.688624960942345e-05
num__Max temp_D1_D30,3.332004678080137e-05
num__30_50DRain( in mm),3.290232899183687e-05
num__Inst Wind Speed_D91_D120(in Knots),3.1076421089214765e-05
num__51_70AI(in mm),2.9920952572491384e-05
num__30DAI(in mm),2.967324234855227e-05
num__30DRain( in mm),2.7291695282403642e-05
num__71_105DAI(in mm),2.6375445996271812e-05
cat__Wind Direction_D31_D60_W,2.6333532386687063e-05
cat__Agriblock_Cuddalore,2.554961036399238e-05
cat__Wind Direction_D91_D120_W,2.456313571806639e-05
num__Inst Wind Speed_D31_D60(in Knots),2.3149931491122772e-05
cat__Wind Direction_D91_D120_WSW,2.3044504102257497e-05
num__71_105DRain(in mm),2.276261641324468e-05
num__51_70DRain(in mm),2.2386770332071432e-05
cat__Wind Direction_D91_D120_NW,2.1850040693650485e-05
num__30_50DAI(in mm),2.1634288661311325e-05
cat__Wind Direction_D61_D90_SW,2.071784808735029e-05
cat__Wind Direction_D61_D90_NNW,2.0556544195139375e-05
cat__Wind Direction_D1_D30_W,1.8636364373624693e-05
cat__Wind Direction_D61_D90_NE,1.6621570486117157e-05
cat__Wind Direction_D1_D30_SW,1.6482580767998616e-05
cat__Wind Direction_D91_D120_S,1.63349370814792e-05
cat__Wind Direction_D1_D30_E,1.5443286867762212e-05
cat__Agriblock_Kallakurichi,1.5049880298979683e-05
cat__Wind Direction_D1_D30_NW,1.4806490571399399e-05
cat__Wind Direction_D31_D60_WNW,1.4277097618949673e-05
cat__Wind Direction_D91_D120_NNW,1.267882316859035e-05
cat__Wind Direction_D61_D90_SE,1.2172369567303758e-05
cat__Wind Direction_D1_D30_SSE,1.1544050275268984e-05
cat__Agriblock_Chinnasalem,1.1259168959968075e-05
cat__Wind Direction_D31_D60_NE,1.0538488091928121e-05
cat__Wind Direction_D31_D60_ENE,9.805085989415553e-06
cat__Agriblock_Sankarapuram,9.592511169661303e-06
cat__Agriblock_Kurinjipadi,9.402514223376813e-06
cat__Wind Direction_D31_D60_S,9.154907427799044e-06
cat__Wind Direction_D61_D90_NNE,8.03586744499526e-06
cat__Wind Direction_D1_D30_ENE,6.4221279170787176e-06
cat__Agriblock_Panruti,5.33734058557947e-06
cat__Wind Direction_D91_D120_SSE,3.960468192699033e-06
